position x; position y; time
-3,95;-2,48;0,02
-3,95;-2,487843;0,04
-3,95;-2,487843;0,06
-3,920588;-2,527059;0,08
-3,861765;-2,558431;0,09999999
-3,773529;-2,597647;0,12
-3,67549;-2,644706;0,14
-3,577451;-2,699607;0,16
-3,479412;-2,762352;0,18
-3,381373;-2,832941;0,2
-3,283334;-2,911372;0,22
-3,185294;-2,997646;0,24
-3,087255;-3,091764;0,26
-2,989216;-3,193725;0,28
-2,891177;-3,303529;0,3
-2,793138;-3,421176;0,32
-2,695099;-3,384002;0,34
-2,597059;-3,364969;0,36
-2,5317;-3,358472;0,38
-2,400981;-3,351543;0,4
-2,368761;-3,351113;0,42
-2,205352;-3,349193;0,4400001
-2,123652;-3,348494;0,4600001
-2,041953;-3,347907;0,4800001
-1,959035;-3,345509;0,5000001
-1,876637;-3,343487;0,52
-1,794937;-3,343487;0,54
-1,628529;-3,343487;0,56
-1,543228;-3,343487;0,58
-1,461528;-3,343487;0,6
-1,379829;-3,343487;0,6199999
-1,298119;-3,343487;0,6399999
-1,131921;-3,343487;0,6599999
-1,050213;-3,343487;0,6799999
-0,9733757;-3,335124;0,6999999
-0,8945211;-3,330222;0,7199998
-0,8120584;-3,330222;0,7399998
-0,7290565;-3,330222;0,7599998
-0,5624536;-3,330222;0,7799998
-0,4799266;-3,330222;0,7999998
-0,3965403;-3,330222;0,8199998
-0,3148354;-3,330222;0,8399997
-0,2304335;-3,330222;0,8599997
-0,188586;-3,330222;0,8799997
-0,197702;-3,330222;0,8999997
-0,2008089;-3,330222;0,9199997
-0,2021352;-3,330222;0,9399996
-0,2030544;-3,330222;0,9599996
-0,204088;-3,330222;0,9799996
-0,204363;-3,330222;0,9999996
-0,2045598;-3,330222;1,02
-0,2046984;-3,330222;1,04
-0,2047942;-3,330222;1,06
-0,2048601;-3,330222;1,08
-0,2049341;-3,330222;1,1
-0,2049542;-3,330222;1,12
-0,204969;-3,330222;1,14
-0,2049788;-3,330222;1,159999
-0,2049855;-3,330222;1,179999
-0,2049934;-3,330222;1,199999
-0,2049953;-3,330222;1,219999
