position x; position y; time
-3,95;-2,48;0,02
-3,95;-2,487843;0,04
-3,95;-2,487843;0,06
-3,920588;-2,527059;0,08
-3,861765;-2,558431;0,09999999
-3,773529;-2,597647;0,12
-3,67549;-2,644706;0,14
-3,577451;-2,699607;0,16
-3,479412;-2,762352;0,18
-3,381373;-2,832941;0,2
-3,283334;-2,911372;0,22
-3,185294;-2,997646;0,24
-3,087255;-3,091764;0,26
-2,989216;-3,193725;0,28
-2,891177;-3,303529;0,3
-2,793138;-3,421176;0,32
-2,695099;-3,384002;0,34
-2,597059;-3,364969;0,36
-2,5317;-3,358472;0,38
-2,400981;-3,351543;0,4
-2,373374;-3,351175;0,42
-2,208072;-3,349222;0,4400001
-2,125262;-3,348508;0,4600001
-2,042074;-3,347908;0,4800001
-1,959905;-3,345547;0,5000001
-1,877618;-3,343487;0,52
-1,795915;-3,343487;0,54
-1,628321;-3,343487;0,56
-1,545282;-3,343487;0,58
-1,461912;-3,343487;0,6
-1,378886;-3,343487;0,6199999
-1,295774;-3,343487;0,6399999
-1,130974;-3,343487;0,6599999
-1,049273;-3,343487;0,6799999
-0,9724412;-3,334987;0,6999999
-0,8935084;-3,330222;0,7199998
-0,8118075;-3,330222;0,7399998
-0,648406;-3,330222;0,7599998
-0,5642384;-3,330222;0,7799998
-0,4825388;-3,330222;0,7999998
-0,3976197;-3,330222;0,8199998
-0,3159193;-3,330222;0,8399997
-0,2315345;-3,330222;0,8599997
-0,1892207;-3,330222;0,8799997
-0,1980446;-3,330222;0,8999997
-0,2008784;-3,330222;0,9199997
-0,2021912;-3,330222;0,9399996
-0,2030843;-3,330222;0,9599996
-0,2036973;-3,330222;0,9799996
-0,2043839;-3,330222;0,9999996
-0,2045716;-3,330222;1,02
-0,204704;-3,330222;1,04
-0,2047974;-3,330222;1,06
-0,2048621;-3,330222;1,08
-0,2049359;-3,330222;1,1
-0,2049553;-3,330222;1,12
-0,2049696;-3,330222;1,14
-0,204979;-3,330222;1,159999
-0,2049856;-3,330222;1,179999
-0,2049933;-3,330222;1,199999
-0,2049953;-3,330222;1,219999
