position x; position y; time
-3,95;-2,48;0,02
-3,95;-2,487843;0,04
-3,95;-2,487843;0,06
-3,920588;-2,527059;0,08
-3,861765;-2,558431;0,09999999
-3,773529;-2,597647;0,12
-3,67549;-2,644706;0,14
-3,577451;-2,699607;0,16
-3,479412;-2,762352;0,18
-3,381373;-2,832941;0,2
-3,283334;-2,911372;0,22
-3,185294;-2,997646;0,24
-3,087255;-3,091764;0,26
-2,989216;-3,193725;0,28
-2,891177;-3,303529;0,3
-2,793138;-3,421176;0,32
-2,695099;-3,384002;0,34
-2,597059;-3,364969;0,36
-2,5317;-3,358472;0,38
-2,400981;-3,351543;0,4
-2,384436;-3,351323;0,42
-2,22103;-3,34936;0,4400001
-2,139322;-3,348628;0,4600001
-2,057624;-3,348014;0,4800001
-1,976435;-3,346268;0,5000001
-1,894905;-3,343487;0,52
-1,72869;-3,343487;0,54
-1,645295;-3,343487;0,56
-1,561596;-3,343487;0,58
-1,479893;-3,343487;0,6
-1,394677;-3,343487;0,6199999
-1,231276;-3,343487;0,6399999
-1,149577;-3,343487;0,6599999
-1,067201;-3,343487;0,6799999
-0,9890213;-3,337421;0,6999999
-0,9085736;-3,330222;0,7199998
-0,8253138;-3,330222;0,7399998
-0,6593462;-3,330222;0,7599998
-0,5762368;-3,330222;0,7799998
-0,4931472;-3,330222;0,7999998
-0,409983;-3,330222;0,8199998
-0,3282825;-3,330222;0,8399997
-0,1606756;-3,330222;0,8599997
-0,1846722;-3,330222;0,8799997
-0,1968802;-3,330222;0,8999997
-0,2006424;-3,330222;0,9199997
-0,2020201;-3,330222;0,9399996
-0,2029796;-3,330222;0,9599996
-0,2040473;-3,330222;0,9799996
-0,2043466;-3,330222;0,9999996
-0,2045514;-3,330222;1,02
-0,2046935;-3,330222;1,04
-0,2047899;-3,330222;1,06
-0,2049013;-3,330222;1,08
-0,2049313;-3,330222;1,1
-0,2049527;-3,330222;1,12
-0,2049673;-3,330222;1,14
-0,2049779;-3,330222;1,159999
-0,2049897;-3,330222;1,179999
-0,2049928;-3,330222;1,199999
-0,204995;-3,330222;1,219999
