position x; position y; time
-3,95;-2,48;0,02
-3,95;-2,487843;0,04
-3,95;-2,487843;0,06
-3,920588;-2,527059;0,08
-3,861765;-2,558431;0,09999999
-3,773529;-2,597647;0,12
-3,67549;-2,644706;0,14
-3,577451;-2,699607;0,16
-3,479412;-2,762352;0,18
-3,381373;-2,832941;0,2
-3,283334;-2,911372;0,22
-3,185294;-2,997646;0,24
-3,087255;-3,091764;0,26
-2,989216;-3,193725;0,28
-2,891177;-3,303529;0,3
-2,793138;-3,421176;0,32
-2,695099;-3,384002;0,34
-2,597059;-3,364969;0,36
-2,5317;-3,358472;0,38
-2,400981;-3,351543;0,4
-2,343314;-3,350774;0,42
-2,259828;-3,349774;0,4400001
-2,176665;-3,348947;0,4600001
-2,01192;-3,347701;0,4800001
-1,931738;-3,344318;0,5000001
-1,850412;-3,343487;0,52
-1,768712;-3,343487;0,54
-1,68701;-3,343487;0,56
-1,523209;-3,343487;0,58
-1,441506;-3,343487;0,6
-1,359807;-3,343487;0,6199999
-1,278105;-3,343487;0,6399999
-1,196406;-3,343487;0,6599999
-1,114706;-3,343487;0,6799999
-0,9534297;-3,332195;0,6999999
-0,872878;-3,330222;0,7199998
-0,7911776;-3,330222;0,7399998
-0,7070555;-3,330222;0,7599998
-0,6246163;-3,330222;0,7799998
-0,4612854;-3,330222;0,7999998
-0,3796011;-3,330222;0,8199998
-0,2979011;-3,330222;0,8399997
-0,2113276;-3,330222;0,8599997
-0,1653476;-3,330222;0,8799997
-0,1991881;-3,330222;0,8999997
-0,2011759;-3,330222;0,9199997
-0,2023494;-3,330222;0,9399996
-0,2031734;-3,330222;0,9599996
-0,2037477;-3,330222;0,9799996
-0,2044187;-3,330222;0,9999996
-0,2045977;-3,330222;1,02
-0,2047225;-3,330222;1,04
-0,2048096;-3,330222;1,06
-0,20487;-3,330222;1,08
-0,2049111;-3,330222;1,1
-0,2049587;-3,330222;1,12
-0,2049712;-3,330222;1,14
-0,2049801;-3,330222;1,159999
-0,2049865;-3,330222;1,179999
-0,2049907;-3,330222;1,199999
-0,2049957;-3,330222;1,219999
