position x; position y; time
-3,95;-2,48;0,02
-3,95;-2,487843;0,04
-3,95;-2,487843;0,06
-3,920588;-2,527059;0,08
-3,861765;-2,558431;0,09999999
-3,773529;-2,597647;0,12
-3,67549;-2,644706;0,14
-3,577451;-2,699607;0,16
-3,479412;-2,762352;0,18
-3,381373;-2,832941;0,2
-3,283334;-2,911372;0,22
-3,185294;-2,997646;0,24
-3,087255;-3,091764;0,26
-2,989216;-3,193725;0,28
-2,891177;-3,303529;0,3
-2,793138;-3,421176;0,32
-2,695099;-3,384002;0,34
-2,597059;-3,364969;0,36
-2,5317;-3,358472;0,38
-2,400981;-3,351543;0,4
-2,302942;-3,350235;0,42
-2,204903;-3,349188;0,4400001
-2,123189;-3,34849;0,4600001
-2,008825;-3,34768;0,4800001
-1,912679;-3,343487;0,5000001
-1,814639;-3,343487;0,52
-1,7166;-3,343487;0,54
-1,716589;-3,343487;0,56
-1,520522;-3,343487;0,58
-1,422482;-3,343487;0,6
-1,324443;-3,343487;0,6199999
-1,308081;-3,343487;0,6399999
-1,128365;-3,343487;0,6599999
-1,030325;-3,343487;0,6799999
-0,9399925;-3,330222;0,6999999
-0,9072908;-3,330222;0,7199998
-0,7439141;-3,330222;0,7399998
-0,6458749;-3,330222;0,7599998
-0,5478357;-3,330222;0,7799998
-0,4987893;-3,330222;0,7999998
-0,3517573;-3,330222;0,8199998
-0,2537181;-3,330222;0,8399997
-0,1556789;-3,330222;0,8599997
-0,1806744;-3,330222;0,8799997
-0,1997042;-3,330222;0,8999997
-0,2016107;-3,330222;0,9199997
-0,2028309;-3,330222;0,9399996
-0,2034974;-3,330222;0,9599996
-0,2041115;-3,330222;0,9799996
-0,2044314;-3,330222;0,9999996
-0,2046361;-3,330222;1,02
-0,2047671;-3,330222;1,04
-0,204769;-3,330222;1,06
-0,1068117;-3,330222;1,08
-0,008772522;-3,330222;1,1
0,0892667;-3,330222;1,12
0,1089053;-3,330222;1,14
0,2853451;-3,330222;1,159999
0,3833843;-3,330222;1,179999
0,4814236;-3,330222;1,199999
0,5174097;-3,330222;1,219999
