position x; position y; time
-3,95;-2,48;0,02
-3,95;-2,487843;0,04
-3,95;-2,487843;0,06
-3,920588;-2,527059;0,08
-3,861765;-2,558431;0,09999999
-3,773529;-2,597647;0,12
-3,67549;-2,644706;0,14
-3,577451;-2,699607;0,16
-3,479412;-2,762352;0,18
-3,381373;-2,832941;0,2
-3,283334;-2,911372;0,22
-3,185294;-2,997646;0,24
-3,087255;-3,091764;0,26
-2,989216;-3,193725;0,28
-2,891177;-3,303529;0,3
-2,793138;-3,421176;0,32
-2,695099;-3,384002;0,34
-2,597059;-3,364969;0,36
-2,5317;-3,358472;0,38
-2,400981;-3,351543;0,4
-2,303244;-3,350239;0,42
-2,220937;-3,349359;0,4400001
-2,13931;-3,348628;0,4600001
-2,057608;-3,348014;0,4800001
-1,976546;-3,346272;0,5000001
-1,895332;-3,343487;0,52
-1,731938;-3,343487;0,54
-1,650233;-3,343487;0,56
-1,567175;-3,343487;0,58
-1,484066;-3,343487;0,6
-1,402367;-3,343487;0,6199999
-1,23404;-3,343487;0,6399999
-1,150315;-3,343487;0,6599999
-1,068614;-3,343487;0,6799999
-0,9399925;-3,330222;0,6999999
-0,8537746;-3,330222;0,7199998
-0,7720751;-3,330222;0,7399998
-0,6903732;-3,330222;0,7599998
-0,6086751;-3,330222;0,7799998
-0,5261889;-3,330222;0,7999998
-0,3627879;-3,330222;0,8199998
-0,2807962;-3,330222;0,8399997
-0,1991011;-3,330222;0,8599997
-0,1698898;-3,330222;0,8799997
-0,1937793;-3,330222;0,8999997
-0,2014512;-3,330222;0,9199997
-0,2025525;-3,330222;0,9399996
-0,203314;-3,330222;0,9599996
-0,1565036;-3,330222;0,9799996
-0,07351143;-3,330222;0,9999996
0,008180731;-3,330222;1,02
0,1771234;-3,330222;1,04
0,2616097;-3,330222;1,06
0,3447111;-3,330222;1,08
0,4264116;-3,330222;1,1
0,5081121;-3,330222;1,12
0,6719965;-3,330222;1,14
0,7536886;-3,330222;1,159999
0,835398;-3,330222;1,179999
0,9170974;-3,330222;1,199999
0,9987979;-3,330222;1,219999
1,162258;-3,330222;1,239999
