position x; position y; time
-3,95;-2,48;0,02
-3,95;-2,487843;0,04
-3,95;-2,487843;0,06
-3,920588;-2,527059;0,08
-3,861765;-2,558431;0,09999999
-3,773529;-2,597647;0,12
-3,67549;-2,644706;0,14
-3,577451;-2,699607;0,16
-3,479412;-2,762352;0,18
-3,381373;-2,832941;0,2
-3,283334;-2,911372;0,22
-3,185294;-2,997646;0,24
-3,087255;-3,091764;0,26
-2,989216;-3,193725;0,28
-2,891177;-3,303529;0,3
-2,793138;-3,421176;0,32
-2,695099;-3,384002;0,34
-2,597059;-3,364969;0,36
-2,5317;-3,358472;0,38
-2,415623;-3,352093;0,4
-2,332943;-3,350635;0,42
-2,25124;-3,349683;0,4400001
-2,16954;-3,348886;0,4600001
-2,087837;-3,34822;0,4800001
-1,926069;-3,344071;0,5000001
-1,844629;-3,343487;0,52
-1,762932;-3,343487;0,54
-1,68123;-3,343487;0,56
-1,595972;-3,343487;0,58
-1,432569;-3,343487;0,6
-1,350824;-3,343487;0,6199999
-1,268492;-3,343487;0,6399999
-1,185436;-3,343487;0,6599999
-1,102346;-3,343487;0,6799999
-0,9461272;-3,331123;0,6999999
-0,8649506;-3,330222;0,7199998
-0,7828839;-3,330222;0,7399998
-0,7011825;-3,330222;0,7599998
-0,6194183;-3,330222;0,7799998
-0,4553119;-3,330222;0,7999998
-0,3736104;-3,330222;0,8199998
-0,2919104;-3,330222;0,8399997
-0,2092413;-3,330222;0,8599997
-0,1666793;-3,330222;0,8799997
-0,1995791;-3,330222;0,8999997
-0,2013197;-3,330222;0,9199997
-0,2024413;-3,330222;0,9399996
-0,2032323;-3,330222;0,9599996
-0,2037854;-3,330222;0,9799996
-0,2041709;-3,330222;0,9999996
-0,2046092;-3,330222;1,02
-0,2047281;-3,330222;1,04
-0,2048123;-3,330222;1,06
-0,2048709;-3,330222;1,08
-0,2049117;-3,330222;1,1
-0,2049583;-3,330222;1,12
-0,2049712;-3,330222;1,14
-0,2049803;-3,330222;1,159999
-0,2049864;-3,330222;1,179999
-0,2049908;-3,330222;1,199999
-0,2049958;-3,330222;1,219999
