position x; position y; time
-3,95;-2,48;0,02
-3,95;-2,487843;0,04
-3,95;-2,487843;0,06
-3,920588;-2,527059;0,08
-3,861765;-2,558431;0,09999999
-3,773529;-2,597647;0,12
-3,67549;-2,644706;0,14
-3,577451;-2,699607;0,16
-3,479412;-2,762352;0,18
-3,381373;-2,832941;0,2
-3,283334;-2,911372;0,22
-3,185294;-2,997646;0,24
-3,087255;-3,091764;0,26
-2,989216;-3,193725;0,28
-2,891177;-3,303529;0,3
-2,793138;-3,421176;0,32
-2,695099;-3,384002;0,34
-2,597059;-3,364969;0,36
-2,5317;-3,358472;0,38
-2,400981;-3,351543;0,4
-2,358246;-3,350973;0,42
-2,276539;-3,349953;0,4400001
-2,10798;-3,34836;0,4600001
-2,02628;-3,3478;0,4800001
-1,94582;-3,344932;0,5000001
-1,864769;-3,343487;0,52
-1,78307;-3,343487;0,54
-1,61967;-3,343487;0,56
-1,537508;-3,343487;0,58
-1,454022;-3,343487;0,6
-1,370966;-3,343487;0,6199999
-1,289272;-3,343487;0,6399999
-1,207565;-3,343487;0,6599999
-1,042801;-3,343487;0,6799999
-0,9665501;-3,334122;0,6999999
-0,8871158;-3,330222;0,7199998
-0,8047648;-3,330222;0,7399998
-0,7230633;-3,330222;0,7599998
-0,5596624;-3,330222;0,7799998
-0,4768178;-3,330222;0,7999998
-0,3951163;-3,330222;0,8199998
-0,3105864;-3,330222;0,8399997
-0,2274854;-3,330222;0,8599997
-0,1896826;-3,330222;0,8799997
-0,1979313;-3,330222;0,8999997
-0,2008673;-3,330222;0,9199997
-0,2021518;-3,330222;0,9399996
-0,203047;-3,330222;0,9599996
-0,2040872;-3,330222;0,9799996
-0,2043658;-3,330222;0,9999996
-0,2045637;-3,330222;1,02
-0,2047007;-3,330222;1,04
-0,2047957;-3,330222;1,06
-0,2048603;-3,330222;1,08
-0,2049352;-3,330222;1,1
-0,2049553;-3,330222;1,12
-0,2049691;-3,330222;1,14
-0,2049787;-3,330222;1,159999
-0,2049854;-3,330222;1,179999
-0,2049931;-3,330222;1,199999
-0,2049952;-3,330222;1,219999
