position x; position y; time
-3,95;-2,48;0,02
-3,95;-2,487843;0,04
-3,95;-2,487843;0,06
-3,920588;-2,527059;0,08
-3,861765;-2,558431;0,09999999
-3,773529;-2,597647;0,12
-3,67549;-2,644706;0,14
-3,577451;-2,699607;0,16
-3,479412;-2,762352;0,18
-3,381373;-2,832941;0,2
-3,283334;-2,911372;0,22
-3,185294;-2,997646;0,24
-3,087255;-3,091764;0,26
-2,989216;-3,193725;0,28
-2,891177;-3,303529;0,3
-2,793138;-3,421176;0,32
-2,695099;-3,384002;0,34
-2,597059;-3,364969;0,36
-2,5317;-3,358472;0,38
-2,400981;-3,351543;0,4
-2,358227;-3,350973;0,42
-2,27652;-3,349953;0,4400001
-2,110683;-3,348383;0,4600001
-2,028988;-3,347818;0,4800001
-1,945661;-3,344925;0,5000001
-1,864609;-3,343487;0,52
-1,77973;-3,343487;0,54
-1,698027;-3,343487;0,56
-1,53406;-3,343487;0,58
-1,451168;-3,343487;0,6
-1,367893;-3,343487;0,6199999
-1,284121;-3,343487;0,6399999
-1,20242;-3,343487;0,6599999
-1,039019;-3,343487;0,6799999
-0,9620208;-3,333457;0,6999999
-0,8807507;-3,330222;0,7199998
-0,7972565;-3,330222;0,7399998
-0,7142535;-3,330222;0,7599998
-0,5494854;-3,330222;0,7799998
-0,467784;-3,330222;0,7999998
-0,3860829;-3,330222;0,8199998
-0,3043825;-3,330222;0,8399997
-0,222683;-3,330222;0,8599997
-0,1914615;-3,330222;0,8799997
-0,1983043;-3,330222;0,8999997
-0,2009506;-3,330222;0,9199997
-0,202229;-3,330222;0,9399996
-0,2031054;-3,330222;0,9599996
-0,2037107;-3,330222;0,9799996
-0,2044;-3,330222;0,9999996
-0,2045845;-3,330222;1,02
-0,2047123;-3,330222;1,04
-0,2048019;-3,330222;1,06
-0,2048646;-3,330222;1,08
-0,2049367;-3,330222;1,1
-0,2049558;-3,330222;1,12
-0,2049694;-3,330222;1,14
-0,2049791;-3,330222;1,159999
-0,2049856;-3,330222;1,179999
-0,2049934;-3,330222;1,199999
-0,2049955;-3,330222;1,219999
